Date,Price,Open,High,Low,Vol.,Change %
"Jun 02, 2021","27,39,283","26,73,029","27,87,298","26,21,490",-,2.51%
"Jun 01, 2021","26,72,281","27,04,762","27,43,421","26,04,603",-,-1.18%
"May 31, 2021","27,04,282","25,81,404","27,17,000","24,75,667",-,4.76%
"May 30, 2021","25,81,365","25,03,634","26,33,152","24,21,072",-,3.18%
"May 29, 2021","25,01,894","25,82,381","26,95,054","24,37,607",-,-3.09%
"May 28, 2021","25,81,770","28,01,174","28,23,279","25,17,801",-,-7.45%
"May 27, 2021","27,89,662","28,50,599","29,27,467","27,05,492",-,-2.16%
"May 26, 2021","28,51,129","27,90,972","29,60,438","27,55,013",-,2.03%
"May 25, 2021","27,94,306","28,22,286","28,93,099","26,59,598",-,-0.74%
"May 24, 2021","28,15,175","25,28,548","29,03,920","25,11,281",-,11.53%
"May 23, 2021","25,24,241","27,25,080","27,83,733","22,71,771",-,-7.44%
"May 22, 2021","27,27,166","27,13,479","28,21,891","25,71,986",-,0.62%
"May 21, 2021","27,10,253","29,58,193","30,71,647","24,47,313",-,-8.95%
"May 20, 2021","29,76,543","26,85,061","30,97,890","25,63,377",-,10.12%
"May 19, 2021","27,03,090","31,37,063","31,80,592","22,25,206",-,-13.78%
"May 18, 2021","31,35,162","31,97,060","33,41,936","30,93,226",-,-1.79%
"May 17, 2021","31,92,231","34,05,157","34,09,490","30,92,078",-,-6.20%
"May 16, 2021","34,03,170","34,24,410","36,46,470","32,19,011",-,-0.74%
"May 15, 2021","34,28,552","36,51,806","37,10,537","34,19,779",-,-6.18%
"May 14, 2021","36,54,284","36,46,153","37,66,454","35,84,712",-,0.11%
"May 13, 2021","36,50,144","36,15,754","37,76,038","33,96,041",-,0.76%
"May 12, 2021","36,22,716","41,58,159","42,56,967","36,22,716",-,-12.87%
"May 11, 2021","41,57,636","41,02,392","41,70,913","40,09,339",-,1.33%
"May 10, 2021","41,03,177","42,74,415","43,65,037","39,34,159",-,-3.76%
"May 09, 2021","42,63,276","43,10,304","43,41,081","41,37,514",-,-1.00%
"May 08, 2021","43,06,345","42,01,456","43,58,638","41,76,455",-,2.48%
"May 07, 2021","42,02,123","41,50,775","42,95,233","40,69,390",-,1.25%
"May 06, 2021","41,50,186","42,42,014","43,01,970","40,68,503",-,-2.05%
"May 05, 2021","42,37,213","39,89,353","42,76,346","39,89,353",-,6.21%
"May 04, 2021","39,89,353","42,22,129","42,22,129","39,89,353",-,-5.40%
"May 03, 2021","42,17,097","41,88,979","43,64,246","41,74,944",-,0.61%
"May 02, 2021","41,91,546","42,79,754","42,84,332","41,55,243",-,-2.07%
"May 01, 2021","42,80,121","42,73,376","43,28,077","42,22,357",-,0.00%
"Apr 30, 2021","42,80,074","39,68,226","42,88,089","39,31,746",-,7.86%
"Apr 29, 2021","39,68,001","40,86,762","41,09,105","38,82,062",-,-2.82%
"Apr 28, 2021","40,83,202","41,06,972","42,02,395","40,07,930",-,-0.51%
"Apr 27, 2021","41,04,095","40,31,010","41,32,335","39,79,196",-,1.66%
"Apr 26, 2021","40,37,097","36,87,142","40,58,881","36,57,519",-,10.04%
"Apr 25, 2021","36,68,712","37,52,131","37,84,631","35,27,469",-,-2.17%
"Apr 24, 2021","37,50,029","38,29,896","38,33,533","36,52,627",-,-2.03%
"Apr 23, 2021","38,27,629","38,78,887","39,14,035","35,74,581",-,-1.49%
"Apr 22, 2021","38,85,715","40,62,721","41,55,848","38,05,728",-,-4.30%
"Apr 21, 2021","40,60,266","42,59,495","42,78,666","40,48,490",-,-4.64%
"Apr 20, 2021","42,57,724","41,71,509","43,00,937","39,91,980",-,2.04%
"Apr 19, 2021","41,72,596","41,93,980","43,01,643","40,63,125",-,-0.37%
"Apr 18, 2021","41,88,069","44,75,820","44,99,073","38,47,534",-,-6.45%
"Apr 17, 2021","44,76,941","45,71,926","46,58,682","44,45,968",-,-2.13%
"Apr 16, 2021","45,74,192","47,29,247","47,44,275","44,65,058",-,-3.16%
"Apr 15, 2021","47,23,477","47,38,987","47,70,640","46,63,310",-,-0.09%
"Apr 14, 2021","47,27,708","47,87,810","48,68,881","46,06,056",-,-1.10%
"Apr 13, 2021","47,80,219","44,88,902","47,92,529","44,87,601",-,6.47%
"Apr 12, 2021","44,89,523","44,95,280","45,86,367","44,54,456",-,0.09%
"Apr 11, 2021","44,85,548","44,63,336","45,33,616","44,28,535",-,0.50%
"Apr 10, 2021","44,63,356","43,44,137","45,79,657","43,27,570",-,2.77%
"Apr 09, 2021","43,43,022","43,30,935","43,97,153","43,14,871",-,0.24%
"Apr 08, 2021","43,32,413","41,62,637","43,35,223","41,43,932",-,4.26%
"Apr 07, 2021","41,55,361","42,61,382","43,31,799","41,27,298",-,-2.50%
"Apr 06, 2021","42,61,811","43,37,698","43,56,980","42,19,910",-,-1.47%
"Apr 05, 2021","43,25,340","42,74,116","43,43,140","41,66,833",-,1.26%
"Apr 04, 2021","42,71,513","41,86,875","42,90,014","41,43,287",-,2.08%
"Apr 03, 2021","41,84,414","43,27,748","43,86,271","41,75,069",-,-3.34%
"Apr 02, 2021","43,29,138","43,10,741","44,11,212","42,90,073",-,0.55%
"Apr 01, 2021","43,05,654","42,96,743","43,57,025","42,60,462",-,0.25%
"Mar 31, 2021","42,95,089","43,15,433","43,88,935","41,77,653",-,-0.42%
"Mar 30, 2021","43,13,115","41,94,187","43,60,329","41,56,419",-,2.88%
"Mar 29, 2021","41,92,348","40,51,510","42,43,384","39,88,529",-,3.50%
"Mar 28, 2021","40,50,739","40,55,966","41,00,672","39,77,044",-,-0.10%
"Mar 27, 2021","40,54,941","39,95,429","41,04,772","39,21,562",-,1.40%
"Mar 26, 2021","39,99,005","37,24,602","39,99,005","37,24,602",-,7.16%
"Mar 25, 2021","37,31,793","38,06,739","38,61,127","36,66,286",-,-2.16%
"Mar 24, 2021","38,14,339","39,40,431","41,50,882","37,56,821",-,-3.48%
"Mar 23, 2021","39,52,016","39,14,489","40,48,568","38,32,562",-,0.77%
"Mar 22, 2021","39,21,928","41,59,279","42,24,035","38,90,361",-,-5.60%
"Mar 21, 2021","41,54,522","42,06,855","42,41,070","40,26,771",-,-1.16%
"Mar 20, 2021","42,03,228","42,07,354","43,35,347","41,90,834",-,-0.11%
"Mar 19, 2021","42,07,685","41,90,817","43,04,791","40,93,265",-,0.37%
"Mar 18, 2021","41,92,336","42,89,499","43,63,906","41,53,288",-,-1.89%
"Mar 17, 2021","42,73,213","41,27,136","42,75,775","39,39,025",-,3.61%
"Mar 16, 2021","41,24,246","40,37,429","41,24,246","38,72,413",-,1.93%
"Mar 15, 2021","40,46,335","42,99,582","44,05,202","40,05,801",-,-5.92%
"Mar 14, 2021","43,00,882","44,48,629","44,82,952","43,00,882",-,-3.46%
"Mar 13, 2021","44,54,866","41,62,687","44,94,208","40,79,403",-,7.05%
"Mar 12, 2021","41,61,468","42,08,530","42,20,189","40,08,044",-,-0.82%
"Mar 11, 2021","41,95,852","40,60,104","42,26,200","39,56,332",-,3.00%
"Mar 10, 2021","40,73,659","39,95,412","41,68,884","38,70,508",-,2.10%
"Mar 09, 2021","39,90,013","38,44,997","39,99,744","38,07,979",-,4.12%
"Mar 08, 2021","38,31,957","37,31,519","38,41,123","36,06,044",-,2.44%
"Mar 07, 2021","37,40,702","35,78,297","37,63,814","35,78,297",-,4.56%
"Mar 06, 2021","35,77,527","35,71,671","36,00,448","34,49,629",-,0.05%
"Mar 05, 2021","35,75,587","35,36,499","36,17,104","33,88,905",-,1.00%
"Mar 04, 2021","35,40,226","36,75,759","37,77,031","34,56,393",-,-3.82%
"Mar 03, 2021","36,80,660","35,45,733","38,24,793","35,27,003",-,3.84%
"Mar 02, 2021","35,44,437","36,39,517","36,83,463","34,52,170",-,-2.60%
"Mar 01, 2021","36,39,207","33,42,246","36,52,659","33,27,820",-,9.29%
"Feb 28, 2021","33,29,987","34,09,720","34,42,619","31,84,997",-,-2.44%
"Feb 27, 2021","34,13,444","34,25,330","35,74,903","33,29,401",-,-0.31%
"Feb 26, 2021","34,23,892","34,20,751","35,77,913","32,36,370",-,0.30%
"Feb 25, 2021","34,13,539","36,00,704","37,69,928","34,13,539",-,-5.12%
"Feb 24, 2021","35,97,609","35,40,609","37,12,915","34,04,198",-,1.68%
"Feb 23, 2021","35,38,221","39,17,551","39,17,551","32,67,368",-,-9.78%
"Feb 22, 2021","39,21,794","41,69,431","41,69,793","35,19,646",-,-5.91%
"Feb 21, 2021","41,68,175","40,56,806","42,32,665","40,26,485",-,2.57%
"Feb 20, 2021","40,63,566","40,54,882","41,73,658","39,30,814",-,0.23%
"Feb 19, 2021","40,54,436","37,49,389","40,80,287","36,92,498",-,8.26%
"Feb 18, 2021","37,45,109","37,98,610","38,22,689","36,97,790",-,-1.32%
"Feb 17, 2021","37,95,292","35,84,723","38,27,844","35,73,579",-,6.01%
"Feb 16, 2021","35,80,284","34,80,970","36,74,791","34,15,364",-,2.85%
"Feb 15, 2021","34,81,114","35,27,825","35,52,172","33,18,687",-,-1.42%
"Feb 14, 2021","35,31,391","34,23,221","36,07,969","34,14,797",-,3.25%
"Feb 13, 2021","34,20,171","34,37,322","34,89,570","33,58,484",-,-0.67%
"Feb 12, 2021","34,43,170","34,89,646","35,62,883","33,57,449",-,-1.35%
"Feb 11, 2021","34,90,412","32,66,506","35,35,042","32,07,109",-,6.81%
"Feb 10, 2021","32,67,857","33,83,835","34,43,915","31,91,797",-,-3.50%
"Feb 09, 2021","33,86,453","33,81,629","35,05,005","32,85,839",-,0.07%
"Feb 08, 2021","33,84,019","28,26,530","34,07,340","27,71,228",-,19.59%
"Feb 07, 2021","28,29,597","28,55,204","28,89,407","27,21,457",-,-1.07%
"Feb 06, 2021","28,60,085","27,88,373","29,79,179","27,87,775",-,2.56%
"Feb 05, 2021","27,88,606","26,97,150","27,89,943","26,70,007",-,3.42%
"Feb 04, 2021","26,96,417","27,41,335","28,21,607","26,52,833",-,-1.58%
"Feb 03, 2021","27,39,814","25,86,376","27,39,814","25,86,376",-,5.89%
"Feb 02, 2021","25,87,423","24,47,327","26,22,366","24,46,474",-,5.57%
"Feb 01, 2021","24,50,843","24,12,846","25,34,862","23,55,885",-,1.61%
"Jan 31, 2021","24,11,950","24,99,160","25,03,973","23,46,766",-,-3.38%
"Jan 30, 2021","24,96,350","25,02,536","25,47,455","24,00,556",-,-0.20%
"Jan 29, 2021","25,01,344","24,32,660","28,05,075","23,31,312",-,2.77%
"Jan 28, 2021","24,33,951","22,18,752","24,62,280","21,83,956",-,9.81%
"Jan 27, 2021","22,16,491","23,68,645","23,72,172","21,41,381",-,-6.43%
"Jan 26, 2021","23,68,885","23,48,884","23,99,148","22,49,718",-,0.53%
"Jan 25, 2021","23,56,434","23,53,004","25,41,831","23,30,241",-,0.12%
"Jan 24, 2021","23,53,681","23,41,251","24,10,962","22,61,283",-,0.47%
"Jan 23, 2021","23,42,712","24,08,077","24,39,464","22,92,248",-,-2.88%
"Jan 22, 2021","24,12,153","22,49,177","24,66,558","21,13,725",-,7.20%
"Jan 21, 2021","22,50,184","25,84,837","25,89,273","21,97,688",-,-13.01%
"Jan 20, 2021","25,86,589","26,24,026","26,62,281","24,40,638",-,-1.85%
"Jan 19, 2021","26,35,244","26,80,074","27,65,617","26,35,244",-,-1.62%
"Jan 18, 2021","26,78,660","26,25,825","27,44,284","25,49,727",-,2.29%
"Jan 17, 2021","26,18,786","26,33,989","26,90,457","24,78,153",-,-0.71%
"Jan 16, 2021","26,37,538","26,87,230","27,72,745","25,88,178",-,-2.02%
"Jan 15, 2021","26,91,909","28,63,840","29,02,366","25,28,251",-,-6.35%
"Jan 14, 2021","28,74,347","27,36,700","29,27,722","26,92,488",-,5.09%
"Jan 13, 2021","27,35,178","24,85,413","27,60,768","23,78,555",-,9.60%
"Jan 12, 2021","24,95,704","26,01,299","26,82,912","23,88,189",-,-4.43%
"Jan 11, 2021","26,11,433","28,00,962","28,00,962","22,39,238",-,-6.80%
"Jan 10, 2021","28,01,869","29,40,349","30,30,745","25,86,189",-,-4.71%
"Jan 09, 2021","29,40,446","29,76,120","30,31,828","28,46,334",-,-1.36%
"Jan 08, 2021","29,81,017","29,04,163","30,70,101","26,89,668",-,3.10%
"Jan 07, 2021","28,91,272","26,88,935","29,51,453","26,62,488",-,7.39%
"Jan 06, 2021","26,92,429","24,89,066","26,98,516","24,42,771",-,8.63%
"Jan 05, 2021","24,78,449","23,41,970","25,12,585","21,96,402",-,6.01%
"Jan 04, 2021","23,37,830","24,13,083","24,51,246","20,70,564",-,-2.91%
"Jan 03, 2021","24,07,885","23,52,037","25,39,109","23,38,546",-,2.40%
"Jan 02, 2021","23,51,553","21,43,831","24,30,100","21,18,975",-,9.72%
"Jan 01, 2021","21,43,328","21,12,402","21,62,716","20,95,564",-,1.30%
"Dec 31, 2020","21,15,850","21,13,827","21,44,520","20,49,764",-,0.17%
"Dec 30, 2020","21,12,246","20,10,204","21,18,890","20,10,204",-,5.07%
"Dec 29, 2020","20,10,312","19,91,555","20,11,198","19,06,321",-,0.98%
"Dec 28, 2020","19,90,742","19,34,107","20,16,959","19,23,375",-,3.07%
"Dec 27, 2020","19,31,355","19,46,395","20,87,798","19,04,538",-,-0.79%
"Dec 26, 2020","19,46,697","18,17,140","19,75,441","18,03,051",-,7.34%
"Dec 25, 2020","18,13,646","17,45,473","18,22,643","17,26,071",-,3.84%
"Dec 24, 2020","17,46,600","17,14,815","17,48,878","16,79,315",-,1.74%
"Dec 23, 2020","17,16,793","17,58,522","17,74,948","16,75,080",-,-2.41%
"Dec 22, 2020","17,59,138","16,82,050","17,59,138","16,54,777",-,4.51%
"Dec 21, 2020","16,83,175","17,25,692","17,73,203","16,31,309",-,-2.56%
"Dec 20, 2020","17,27,320","17,54,384","17,83,873","16,99,210",-,-1.61%
"Dec 19, 2020","17,55,541","17,01,246","17,73,069","16,78,062",-,3.15%
"Dec 18, 2020","17,01,989","16,78,913","17,10,377","16,45,983",-,1.50%
"Dec 17, 2020","16,76,896","15,71,266","17,48,387","15,64,205",-,6.59%
"Dec 16, 2020","15,73,221","14,29,184","15,84,728","14,18,988",-,10.08%
"Dec 15, 2020","14,29,199","14,19,748","14,39,940","14,04,867",-,0.69%
"Dec 14, 2020","14,19,464","14,13,286","14,24,914","14,00,621",-,0.44%
"Dec 13, 2020","14,13,210","13,87,022","14,30,758","13,80,208",-,2.02%
"Dec 12, 2020","13,85,190","13,28,978","13,95,611","13,28,978",-,3.95%
"Dec 11, 2020","13,32,557","13,47,188","13,48,099","12,98,470",-,-0.94%
"Dec 10, 2020","13,45,146","13,67,418","13,67,954","13,21,918",-,-1.62%
"Dec 09, 2020","13,67,310","13,47,466","13,73,521","12,98,497",-,1.17%
"Dec 08, 2020","13,51,492","14,15,349","14,22,857","13,43,914",-,-4.51%
"Dec 07, 2020","14,15,253","14,28,820","14,33,273","13,97,034",-,-1.04%
"Dec 06, 2020","14,30,182","14,12,311","14,32,536","13,92,009",-,1.23%
"Dec 05, 2020","14,12,751","13,76,287","14,14,408","13,65,334",-,2.65%
"Dec 04, 2020","13,76,337","14,34,828","14,42,213","13,73,978",-,-4.11%
"Dec 03, 2020","14,35,299","14,17,786","14,46,560","13,92,162",-,1.36%
"Dec 02, 2020","14,16,085","13,78,633","14,25,718","13,46,946",-,2.68%
"Dec 01, 2020","13,79,136","14,57,405","14,64,702","13,42,913",-,-5.37%
"Nov 30, 2020","14,57,389","13,44,261","14,66,491","13,44,261",-,8.46%
"Nov 29, 2020","13,43,721","13,10,657","13,55,407","12,95,517",-,2.60%
"Nov 28, 2020","13,09,672","12,66,941","13,20,989","12,47,704",-,3.54%
"Nov 27, 2020","12,64,837","12,66,823","12,87,608","12,20,404",-,-0.05%
"Nov 26, 2020","12,65,506","13,79,868","13,94,265","11,97,375",-,-8.49%
"Nov 25, 2020","13,82,898","14,18,625","14,38,769","13,67,759",-,-2.61%
"Nov 24, 2020","14,19,918","13,62,985","14,38,426","13,36,485",-,4.09%
"Nov 23, 2020","13,64,123","13,65,433","13,88,758","13,35,639",-,0.01%
"Nov 22, 2020","13,64,026","13,84,670","13,89,665","13,08,219",-,-1.49%
"Nov 21, 2020","13,84,711","13,83,940","14,05,463","13,62,604",-,0.14%
"Nov 20, 2020","13,82,776","13,19,263","13,93,928","13,15,860",-,4.85%
"Nov 19, 2020","13,18,784","13,17,861","13,47,114","12,90,001",-,0.14%
"Nov 18, 2020","13,16,948","13,14,415","13,74,608","12,82,720",-,0.10%
"Nov 17, 2020","13,15,569","12,42,605","13,27,785","12,32,431",-,5.89%
"Nov 16, 2020","12,42,364","11,89,631","12,55,473","11,84,193",-,4.44%
"Nov 15, 2020","11,89,561","11,98,451","12,04,872","11,76,845",-,-0.75%
"Nov 14, 2020","11,98,495","12,17,173","12,17,516","11,72,070",-,-1.54%
"Nov 13, 2020","12,17,261","12,17,374","12,29,943","11,91,931",-,0.09%
"Nov 12, 2020","12,16,219","11,68,066","12,20,268","11,52,092",-,4.11%
"Nov 11, 2020","11,68,184","11,36,430","11,87,240","11,34,864",-,2.78%
"Nov 10, 2020","11,36,635","11,34,901","11,45,710","11,21,742",-,0.24%
"Nov 09, 2020","11,33,964","11,45,430","11,67,665","10,98,102",-,-0.96%
"Nov 08, 2020","11,44,900","10,96,462","11,56,845","10,88,486",-,4.45%
"Nov 07, 2020","10,96,098","11,51,888","11,65,138","10,64,177",-,-4.87%
"Nov 06, 2020","11,52,260","11,52,653","11,79,660","11,26,082",-,0.05%
"Nov 05, 2020","11,51,688","10,52,140","11,63,268","10,48,218",-,9.56%
"Nov 04, 2020","10,51,168","10,46,487","10,58,864","10,14,277",-,0.54%
"Nov 03, 2020","10,45,560","10,10,266","10,48,481","9,88,304",-,3.48%
"Nov 02, 2020","10,10,396","10,26,469","10,30,790","9,83,652",-,-1.50%
"Nov 01, 2020","10,25,777","10,28,613","10,35,568","10,16,327",-,-0.31%
"Oct 31, 2020","10,28,993","10,10,841","10,49,663","10,02,110",-,1.83%
"Oct 30, 2020","10,10,470","10,00,607","10,18,601","9,76,449",-,1.04%
"Oct 29, 2020","10,00,069","9,84,670","10,14,165","9,66,689",-,1.49%
"Oct 28, 2020","9,85,338","10,04,211","10,19,893","9,57,773",-,-1.85%
"Oct 27, 2020","10,03,864","9,65,433","10,14,790","9,63,312",-,3.96%
"Oct 26, 2020","9,65,630","9,62,343","9,78,719","9,46,848",-,0.43%
"Oct 25, 2020","9,61,534","9,68,307","9,85,129","9,52,311",-,-0.72%
"Oct 24, 2020","9,68,462","9,54,918","9,71,593","9,50,578",-,1.44%
"Oct 23, 2020","9,54,760","9,55,385","9,58,997","9,40,954",-,-0.11%
"Oct 22, 2020","9,55,826","9,41,442","9,70,695","9,35,961",-,1.40%
"Oct 21, 2020","9,42,674","8,74,746","9,71,774","8,73,344",-,7.78%
"Oct 20, 2020","8,74,639","8,62,068","8,83,229","8,57,324",-,1.47%
"Oct 19, 2020","8,61,955","8,44,944","8,66,068","8,37,554",-,2.06%
"Oct 18, 2020","8,44,528","8,34,416","8,44,528","8,33,519",-,1.23%
"Oct 17, 2020","8,34,270","8,31,431","8,37,330","8,27,964",-,0.38%
"Oct 16, 2020","8,31,153","8,44,886","8,47,451","8,23,290",-,-1.57%
"Oct 15, 2020","8,44,451","8,36,866","8,50,774","8,28,354",-,0.92%
"Oct 14, 2020","8,36,783","8,38,384","8,44,972","8,27,209",-,-0.19%
"Oct 13, 2020","8,38,365","8,45,664","8,46,999","8,30,815",-,-0.91%
"Oct 12, 2020","8,46,105","8,30,109","8,59,105","8,23,852",-,1.93%
"Oct 11, 2020","8,30,110","8,24,631","8,35,329","8,23,318",-,0.64%
"Oct 10, 2020","8,24,829","8,07,047","8,38,056","8,07,025",-,2.19%
"Oct 09, 2020","8,07,164","8,00,987","8,10,954","7,92,640",-,0.75%
"Oct 08, 2020","8,01,152","7,82,287","8,02,624","7,72,349",-,2.38%
"Oct 07, 2020","7,82,543","7,78,482","7,83,261","7,75,096",-,0.50%
"Oct 06, 2020","7,78,621","7,89,254","7,91,252","7,73,118",-,-1.25%
"Oct 05, 2020","7,88,454","7,81,552","7,88,474","7,77,525",-,0.79%
"Oct 04, 2020","7,82,240","7,72,680","7,83,516","7,70,995",-,1.27%
"Oct 03, 2020","7,72,429","7,74,719","7,76,699","7,69,671",-,-0.26%
"Oct 02, 2020","7,74,461","7,77,777","7,80,905","7,60,741",-,-0.44%
"Oct 01, 2020","7,77,880","7,93,126","7,99,558","7,65,889",-,-1.81%
"Sep 30, 2020","7,92,221","7,99,825","8,00,098","7,86,024",-,-0.92%
"Sep 29, 2020","7,99,604","7,87,048","8,00,915","7,84,927",-,1.43%
"Sep 28, 2020","7,88,339","7,94,899","8,06,605","7,88,296",-,-0.73%
"Sep 27, 2020","7,94,109","7,90,388","7,95,579","7,81,338",-,0.45%
"Sep 26, 2020","7,90,589","7,87,460","7,94,935","7,84,854",-,0.44%
"Sep 25, 2020","7,87,154","7,93,582","7,94,675","7,77,887",-,-0.73%
"Sep 24, 2020","7,92,958","7,53,577","7,97,040","7,50,599",-,5.32%
"Sep 23, 2020","7,52,902","7,74,218","7,74,579","7,46,674",-,-2.72%
"Sep 22, 2020","7,73,928","7,66,699","7,77,217","7,62,304",-,0.84%
"Sep 21, 2020","7,67,510","8,02,922","8,07,812","7,60,306",-,-4.43%
"Sep 20, 2020","8,03,078","8,14,890","8,14,890","7,92,102",-,-1.42%
"Sep 19, 2020","8,14,653","8,03,949","8,21,970","8,00,741",-,1.34%
"Sep 18, 2020","8,03,886","8,05,544","8,09,863","7,95,615",-,-0.16%
